OptionEpic,UnderlyingEpic,Strike,Expiry,CallOrPut,DividendYield,RiskFreeRate
OP.D.FTSE2.5550C.IP,IX.D.FTSE.MONTH3.IP,5550.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5550P.IP,IX.D.FTSE.MONTH3.IP,5550.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5575C.IP,IX.D.FTSE.MONTH3.IP,5575.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5575P.IP,IX.D.FTSE.MONTH3.IP,5575.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5600C.IP,IX.D.FTSE.MONTH3.IP,5600.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5600P.IP,IX.D.FTSE.MONTH3.IP,5600.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5625C.IP,IX.D.FTSE.MONTH3.IP,5625.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5625P.IP,IX.D.FTSE.MONTH3.IP,5625.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5650C.IP,IX.D.FTSE.MONTH3.IP,5650.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5650P.IP,IX.D.FTSE.MONTH3.IP,5650.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5675C.IP,IX.D.FTSE.MONTH3.IP,5675.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5675P.IP,IX.D.FTSE.MONTH3.IP,5675.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5700C.IP,IX.D.FTSE.MONTH3.IP,5700.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5700P.IP,IX.D.FTSE.MONTH3.IP,5700.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5725C.IP,IX.D.FTSE.MONTH3.IP,5725.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5725P.IP,IX.D.FTSE.MONTH3.IP,5725.0,2017-09-15,PUT,0.0,0.331
