OptionEpic,UnderlyingEpic,Strike,Expiry,CallOrPut,DividendYield,RiskFreeRate
OD.D.MTH2GBP.26.IP,CF.D.GBPUSD.DEC.IP,13900,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.25.IP,CF.D.GBPUSD.DEC.IP,13900,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.24.IP,CF.D.GBPUSD.DEC.IP,14000,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.23.IP,CF.D.GBPUSD.DEC.IP,14000,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.22.IP,CF.D.GBPUSD.DEC.IP,14100,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.21.IP,CF.D.GBPUSD.DEC.IP,14100,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.20.IP,CF.D.GBPUSD.DEC.IP,14200,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.19.IP,CF.D.GBPUSD.DEC.IP,14200,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.18.IP,CF.D.GBPUSD.DEC.IP,14300,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.17.IP,CF.D.GBPUSD.DEC.IP,14300,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.16.IP,CF.D.GBPUSD.DEC.IP,14400,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.15.IP,CF.D.GBPUSD.DEC.IP,14400,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.14.IP,CF.D.GBPUSD.DEC.IP,14500,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.13.IP,CF.D.GBPUSD.DEC.IP,14500,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.12.IP,CF.D.GBPUSD.DEC.IP,14600,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.11.IP,CF.D.GBPUSD.DEC.IP,14600,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.10.IP,CF.D.GBPUSD.DEC.IP,14700,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.9.IP,CF.D.GBPUSD.DEC.IP,14700,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.8.IP,CF.D.GBPUSD.DEC.IP,14800,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.7.IP,CF.D.GBPUSD.DEC.IP,14800,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.6.IP,CF.D.GBPUSD.DEC.IP,14900,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.5.IP,CF.D.GBPUSD.DEC.IP,14900,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.4.IP,CF.D.GBPUSD.DEC.IP,15000,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.3.IP,CF.D.GBPUSD.DEC.IP,15000,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.2.IP,CF.D.GBPUSD.DEC.IP,15100,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.1.IP,CF.D.GBPUSD.DEC.IP,15100,2017-12-20,PUT,0,0.0131056
